label,conversion,convWIO,pixels,transitions,autSizeH,min_computation,minWIO,statesMin,transitionsMin,convertBack,modelCheckingFull,modelCheckingMin,speedupMC
maze-128,0.3682258279877715,0.3352344550075941,16.00 K,142.50 K,2.47 MiB,0.005501000000000001,0.040794,7,21,0.3327135059807915,0.9836789869877975,0.4127475280256476,2.383246222438122
mono-130,0.3174113350105472,0.39308878901647404,30.47 K,272.05 K,4.83 MiB,0.010676999999999999,0.076461,155,899,0.30432771900086664,0.5258240140101407,0.44019391099573113,1.1945281406112862
